"","SEM_TRATADAS.SI","DIST_SURCOS","DIST_PLANTAS","CULT_ANT.Maiz","POBLACION_20DIAS","TIPO_MATERIAL.OGM","ALMACENAMIENTO_FINCA.NO","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA.MEDIA","PROF_EFEC","PText.Ar","PText.ArA","PText.F","PText.FA","PText.FAr","PText.FrL","Temp_Min_Avg_Veg","Diurnal_Range_Avg_Veg","Rhum_sd_For","Temp_Min_Avg_Mad","Sol_Ener_Accu_Mad","Rhum_sd_Mad","TotN","Totp","Totk","output"
"2239",1,0.8,0.15,1,75000,0,1,3,2,3,1.5,6.5,1,30,0,0,0,0,1,0,23.02115385,9.626923077,9.770686643,23.58571429,15764.29665,8.891960983,107,15,15,5000
"2245",1,0.85,0.15,0,75000,1,1,2,4,8,1.8,6,1,32,0,0,0,0,0,0,22.26590261,10.26616727,7.676194668,22.51152194,11602.43248,6.53311079,253,54,54,5000
"2246",0,0.85,0.14,0,80000,1,1,2,1,5,1.5,6.5,0,30,0,0,0,0,0,0,22.26590261,10.26616727,7.676194668,22.69444045,16489.62615,6.583456945,116,58,78,4000
"2247",1,0.85,0.2,0,70000,1,1,2,4,7,1.7,6,1,53,0,0,0,0,1,0,22.32061218,9.945013428,7.25756758,22.0288916,13136.50893,7.636553469,118,58,138,3100
"2251",0,0.8,0.16,0,71000,1,1,3,3,4,1.8,6.5,1,21,0,0,0,1,0,0,23.53173213,12.18120346,8.094487367,22.76818182,16560.5569,8.632690021,51,58,78,5000
"2253",0,0.85,0.16,0,70000,1,1,2,3,5,1.8,7,1,45,0,0,1,0,0,0,22.3561891,9.907513428,7.037450309,22.1583214,15855.64732,7.318300938,125,18,78,4500
"2264",1,0.85,0.16,0,70000,1,1,3,2,6,1.5,6,1,61,0,0,1,0,0,0,22.1649773,10.52582336,6.380425745,22.75727559,12684.77452,7.139990236,116,58,138,5000
"2286",0,0.8,0.16,0,71000,1,1,2,2,6,1.5,6,1,64,0,0,1,0,0,0,22.23769046,10.29789804,7.587855158,22.68631193,16761.2129,6.176744016,184,40,60,2200
"2288",1,0.9,0.16,0,69500,1,1,2,1,4,1.6,6,1,70,0,0,0,0,0,1,22.51388141,9.529628813,6.542005967,22.00369426,15543.05351,7.149779982,138,18,18,4100
"2305",0,0.8,0.15,1,74000,0,1,2,1,3,1.5,6.5,1,50,0,0,0,0,1,0,23.00288462,9.483653846,8.50027449,23.5972973,16017.33014,8.385663552,98,18,18,2500
"2332",1,0.85,0.16,0,71000,1,1,2,3,7,1,7,1,37,0,0,0,0,0,0,22.24862256,10.29116727,7.836139254,22.58291529,13267.70056,5.94197941,132,40,120,4000
"2345",0,0.85,0.16,0,71500,1,1,1,1,6,1.8,6,1,46,0,0,0,1,0,0,22.85479446,13.3389267,7.750740662,23.15,11896.76202,7.669035329,166,66,46,4100
"2347",1,0.85,0.16,0,71300,1,1,3,2,5,1.8,6,0,41,0,0,0,1,0,0,22.22096494,10.30755413,7.360319673,22.62863827,11891.23402,6.051355021,134,40,0,4000
"2348",0,0.85,0.16,0,71000,1,1,2,2,10,1.5,6,0,30,0,0,0,0,0,0,23.71315442,11.59256256,7.493365164,22.34166667,13291.11874,6.748391336,199,18,138,5200
"2533",0,0.85,0.16,0,70000,1,1,4,4,9,1.8,7,1,35,0,0,0,0,0,0,23.73599019,11.3985273,7.562161285,22.29354839,11425.23357,6.32436662,124,232,112,6500
"2537",0,0.85,0.16,0,70000,1,1,4,4,9,1.6,7,0,30,0,1,0,0,0,0,22.47926602,9.743090351,6.939611841,21.70152099,13237.87063,7.676977306,124,232,112,4700
"2814",0,0.85,0.16,0,72600,1,1,3,2,3,1.7,6,1,67,0,1,0,0,0,0,22.90544254,9.684075917,4.422125974,22.1097561,16043.11925,6.948348225,54,54,54,3000
"2816",0,0.85,0.16,0,73200,1,1,3,3,3,1.8,6,1,57,0,0,0,0,0,1,22.88621177,9.762922071,4.427259881,22.0575,15875.95179,7.217684802,54,54,54,2600
"2824",1,0.8,0.16,0,70000,1,1,3,2,6,2,6,1,33,0,0,0,0,0,0,24.10815897,10.51627974,6.938217607,22.25294118,12028.96563,5.572642555,137,58,58,4800
"2845",1,0.9,0.16,1,74000,1,1,3,2,6,1.7,7,0,35,0,0,0,0,0,0,24.10815897,10.51627974,6.938217607,22.25294118,12028.96563,5.572642555,178,40,40,5000
"2850",1,0.85,0.16,0,71600,1,1,2,4,6,1.8,6,1,65,0,0,0,1,0,0,24.65156343,9.353722346,10.18565618,22.275,13818.79921,7.991060233,138,40,80,6500
"2851",1,0.85,0.16,0,75000,1,0,2,2,5,1.7,6,1,66,0,0,0,1,0,0,24.55734293,9.512361239,10.32789796,22.25333333,16074.14266,7.283214709,110,58,58,4600
"2856",0,0.85,0.16,0,71100,1,1,2,3,5,1.9,7,1,40,0,0,0,0,0,0,24.32683725,10.00052074,8.605292775,22.13111111,16376.78381,5.116562247,132,40,40,5000
"2857",0,0.85,0.16,0,72000,1,1,2,3,4,1.8,7,1,40,0,0,0,0,0,0,24.32683725,10.00052074,8.605292775,22.13111111,16376.78381,5.116562247,132,40,0,4800
"2922",0,0.85,0.16,0,72500,1,1,2,5,6,1.7,7,1,40,0,0,0,0,0,0,24.24291448,10.25346558,7.541359002,22.25,14307.8173,5.274547349,164,72,72,6600
"2956",0,0.85,0.16,0,73000,1,1,2,2,8,1.8,7,1,67,0,0,0,1,0,0,22.75521237,9.474559561,4.544447958,22.075,17574.4134,6.790079161,178,40,120,6300
"2958",0,0.85,0.16,0,73000,1,1,1,3,8,1.8,7,0,40,1,0,0,0,0,0,23.37588282,12.43523582,8.567722095,22.48918919,13903.6191,8.640539743,170,103,58,4500
"2959",0,0.85,0.16,0,73000,1,1,1,2,7,1.9,7,0,40,1,0,0,0,0,0,23.42260176,12.31917642,8.232229473,22.56666667,14626.20283,8.507157923,162,98,58,4500
"2960",0,0.85,0.16,0,74000,1,1,1,3,7,2,7,1,67,1,0,0,0,0,0,23.24863957,12.61050048,8.402564386,22.71025641,14606.48034,8.509913918,150,58,98,4000
"2963",0,0.85,0.16,0,71800,0,1,2,2,4,1.8,7,0,40,0,0,0,0,0,0,22.29438047,10.14021613,7.124372265,22.50229992,18133.82711,7.313169138,122,36,36,4000
"2974",0,0.85,0.16,0,71000,1,0,1,2,8,1.9,7,1,66,0,0,0,0,0,1,22.43276431,9.771529258,7.054835112,21.76410323,15605.0327,7.833321791,170,103,58,4800
